id;data_cadastro;name;email;senha;role
1;2020-04-27;circuit transmitting;Aurelia.Gleason@hotmail.com;Cheese Guyana Dollar Steel;ROLE_USER
2;2020-04-27;iterate;Kamille.Pfeffer59@hotmail.com;FTP Ohio neural;ROLE_USER
3;2020-04-27;generate;Earline_Hermann14@yahoo.com;Triple-buffered;ROLE_ADMIN
4;2020-04-27;deposit Solutions;Myrna_Will36@yahoo.com;Balboa US Dollar;ROLE_USER
5;2020-04-27;4th generation microchip;Tatum.Robel@gmail.com;Cyprus;ROLE_ADMIN
6;2020-04-27;Corporate Tasty Frozen;Esperanza64@gmail.com;virtual back up;ROLE_ADMIN
7;2020-04-27;Beauty Human Nakfa;Morris_Shields@yahoo.com;collaborative;ROLE_ADMIN
8;2020-04-27;open-source Executive;Clay.Schmidt@hotmail.com;Handcrafted backing up invoice;ROLE_ADMIN
9;2020-04-27;Persevering Industrial;Bonnie9@yahoo.com;connect Horizontal;ROLE_ADMIN
10;2020-04-27;Grocery bandwidth;Oceane.Ruecker14@yahoo.com;Won;ROLE_USER
